ratio,coeff_0,coeff_1,coeff_2
0.45,2.06208,-0.49631,-0.06296
0.5,2.00267,-0.45126,-0.05545
NV_N,6,,
0.1,2.5169,-0.6405,-0.1113
0.2,2.494,-0.6513,-0.0967
0.3,2.4373,-0.6449,-0.0675
0.4,2.3402,-0.6002,-0.0274
0.5,2.1927,-0.4643,-0.0303
0.8,1.8497,-0.0515,0
NV_W,6,,
0.1,2.4459,-0.6206,-0.0926
0.2,2.4232,-0.6295,-0.0802
0.3,2.3615,-0.6243,-0.0481
0.4,2.2463,-0.5767,0.0055
0.5,2.056,-0.4074,0.0201
0.8,1.9362,-0.0774,0
NV_S,6,,
0.1,2.575,-0.6598,-0.124
0.2,2.5526,-0.6705,-0.1083
0.3,2.5009,-0.663,-0.0804
0.4,2.4208,-0.6216,-0.0527
0.5,2.3042,-0.5098,-0.0646
0.8,1.8353,-0.0814,0
N10_A,5,,
0.1,2.572,-0.6549,-0.1257
0.25,2.5277,-0.664,-0.0967
0.3,2.4983,-0.6577,-0.0827
0.4,2.4183,-0.6155,-0.0556
0.5,2.3023,-0.4024,-0.0691
N10_B,5,,
0.1,2.5181,-0.6379,-0.1126
0.25,2.4719,-0.6479,-0.0859
0.3,2.4391,-0.6418,-0.0694
0.4,2.3428,-0.5963,-0.0299
0.5,2.1975,-0.4601,-0.0341
N10_C,5,,
0.1,2.4686,-0.623,-0.0944
0.25,2.4218,-0.6325,-0.0746
0.3,2.3858,-0.624,-0.0551
0.4,2.2776,-0.5792,-0.0077
0.5,2.1034,-0.4198,-0.0001
N10_D,5,,
0.1,2.4099,-0.6077,-0.084
0.25,2.3621,-0.6166,-0.0598
0.3,2.3242,-0.6106,-0.0397
0.4,2.2008,-0.5611,-0.0213
0.5,1.9901,-0.3712,-0.0465
NRCC_A,5,,
0.1,2.5453,-0.6132,-0.142
0.2,2.5245,-0.6223,-0.1291
0.3,2.4752,-0.6138,-0.1064
0.4,2.3963,-0.5689,-0.0849
0.5,2.2844,-0.4467,-0.1184
NRCC_B,5,,
0.1,2.515,-0.6034,-0.1344
0.2,2.4934,-0.6134,-0.1226
0.3,2.441,-0.6056,-0.0986
0.4,2.354,-0.56,-0.0725
0.5,2.2249,-0.4247,-0.0996
NRCC_C,5,,
0.1,2.4626,-0.5834,-0.1182
0.2,2.441,-0.5918,-0.107
0.3,2.3847,-0.5827,-0.0797
0.4,2.2861,-0.5322,-0.0459
0.5,2.1322,-0.3695,-0.07
NRCC_D,5,,
0.1,2.4114,-0.5687,-0.1068
0.2,2.3894,-0.5765,-0.0953
0.3,2.3298,-0.5683,-0.0668
0.4,2.2183,-0.5161,-0.0223
0.5,2.0357,-0.3283,-0.0388
